trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20220101,3380,839,962
20220101,3390,6758,7089
20220101,3400,398,464
20220101,3410,875,1048
20220101,3420,2012,2476
20220101,3430,982,1122
20220101,3431,20,26
20220101,3432,138,176
20220101,3433,16,31
20220101,3434,635,531
20220101,3435,88,95
20220101,3436,294,339
20220101,3450,712,755
20220101,3460,154,208
20220101,3470,5535,6045
20220101,3480,1887,2113
20220101,3490,109,134
20220101,4050,1288,1313
20220101,4060,1683,1786
20220101,4070,518,519
20220101,4080,11563,12288
20220101,4090,631,668
20220101,4100,152,193
20220101,4110,499,567
20220101,4120,4160,4683
20220101,4130,410,402
20220101,4140,465,556
20220101,4150,997,1167
20220101,4160,121,136
20220101,4170,2550,2747
20220101,4180,670,680
20220101,4190,2030,2063
20220101,4200,6477,3839
20220101,4210,2226,2071
20220101,4220,28307,27727
20220101,4250,2596,5097
20220101,4260,887,821
20220101,4270,372,386
20220101,4271,304,295
20220101,4272,2170,2219
20220101,4290,853,984
20220101,4300,1420,1613
20220101,4310,2497,2592
20220101,4320,1817,1732
20220101,4330,2312,2195
20220101,4340,13583,12917
20220101,4350,747,805
20220101,4360,742,722
20220101,4370,1643,1601
20220101,4380,550,392
20220101,4390,645,559
20220101,4400,17468,15816
20220101,4410,642,615
20220101,4420,1169,1114
20220101,4430,1012,976
20220101,4440,4563,4734
20220101,4450,620,554
20220101,4460,1097,1196
20220101,4470,92,98
20220101,5000,10587,11233
20220101,5010,161,231
20220101,5020,182,217
20220101,5030,657,734
20220101,5040,272,363
20220101,5050,3554,3940
20220101,5060,36,49
20220101,5070,358,407
20220101,5080,24,38
20220101,5090,538,473
20220101,5100,126,121
20220101,5110,51,333
20220101,5120,1140,1306
20220101,5130,356,2
20220101,5140,1,6
20220101,5160,5,27
20220101,5190,213,237
20220101,5200,34,22
20220101,5210,954,860
20220101,5220,436,281
20220101,5230,755,704
20220101,5240,13,12
20220101,6000,6178,4507
20220101,6010,11,67
20220101,6020,201,159
20220101,6030,20,30
20220101,6040,2,6
20220101,6050,411,412
20220101,6060,0,10
20220101,6070,865,746
20220101,6080,106,121
20220101,6090,6,14
20220101,6100,25,11
20220101,6110,1129,1214
20220101,6120,7,12
20220101,6130,554,702
20220101,6140,34,43
20220101,6150,8,6
20220101,6160,365,348
20220101,6170,30,28
20220101,6180,279,279
20220101,6190,5,17
20220101,6200,57,59
20220101,6210,35,34
20220101,6220,235,253
20220101,6230,8,7
20220101,6240,310,332
20220101,6250,413,288
20220101,7000,11814,8418
20220101,7010,60,42
20220101,7020,4,13
20220101,7030,414,301
20220101,7040,15,21
20220101,7050,12,13
20220101,7060,134,187
20220101,7070,4,3
20220101,7080,10,7
20220101,7090,525,601
20220101,7100,196,135
20220101,7110,19,79
20220101,7120,419,508
20220101,7130,428,540
20220101,7140,31,42
20220101,7150,712,727
20220101,7160,6483,6256
20220101,7170,56,69
20220101,7180,98,113
20220101,7190,5163,4726
20220101,7200,118,106
20220101,7210,3654,3544
20220101,7220,70,91
20220101,7230,1205,1092
20220101,7240,259,222
20220101,7250,110,97
20220101,7260,220,257
20220101,7270,545,179
20220101,7280,51,48
20220101,7290,781,953
20220101,7300,136,185
20220101,7310,638,685
20220101,7320,148,183
20220101,7330,147,216
20220101,7331,12,12
20220101,7332,1559,1372
20220101,7333,34,28
20220101,7334,81,32
20220101,7335,924,968
20220101,7336,722,707
20220101,7350,1229,1219
20220101,7360,4449,4874
20220101,7361,101,104
20220101,7362,367,468
20220101,7380,442,482
20220101,7390,278,357
20220102,0900,6744,6897
20220102,0910,1011,1007
20220102,0920,1494,1421
20220102,0930,3691,3773
20220102,0940,1526,1480
20220102,0950,1134,1019
20220102,0960,6320,6305
20220102,0970,4123,4282
20220102,0980,8348,8205
20220102,0990,9334,11122
20220102,1000,47299,60070
20220102,1010,2886,2771
20220102,1020,21477,24127
20220102,1030,1812,1991
20220102,1040,11987,12953
20220102,1050,816,940
20220102,1060,1378,1414
20220102,1070,6509,6258
20220102,1080,25728,25389
20220102,1090,6703,7430
20220102,1100,25927,27533
20220102,1110,4402,4069
20220102,1120,4264,4144
20220102,1130,1642,1480
20220102,1140,51,69
20220102,1150,466,565
20220102,1160,3158,2846
20220102,1170,5796,6439
20220102,1180,4229,4113
20220102,1190,1261,1637
20220102,1191,280,366
20220102,1192,1093,2672
20220102,1193,535,982
20220102,1194,4581,2218
20220102,1201,85,91
20220102,1202,117,117
20220102,1203,576,478
20220102,1204,94,125
20220102,1205,70,84
20220102,1206,208,261
20220102,1207,20,14
20220102,1208,1143,980
20220102,1210,21176,23222
20220102,1220,835,1096
20220102,1230,552,436
20220102,1240,230,265
20220102,1250,8816,7933
20220102,2110,35,45
20220102,2120,93,76
20220102,2130,821,1776
20220102,2140,19,27
20220102,2150,636,524
20220102,2160,74,58
20220102,2170,1087,645
20220102,2180,1877,1345
20220102,2190,341,304
20220102,2200,3972,2973
20220102,2210,96,44
20220102,2220,1806,1165
20220102,2230,3938,4685
20220102,2240,464,384
20220102,2250,745,550
20220102,2260,758,300
20220102,3140,278,237
20220102,3150,1235,899
20220102,3160,5510,5437
20220102,3170,110,165
20220102,3180,1309,861
20220102,3190,975,725
20220102,3210,767,609
20220102,3220,2692,2775
20220102,3230,10590,8900
20220102,3240,782,722
20220102,3250,2923,2769
20220102,3260,574,522
20220102,3270,2073,1906
20220102,3280,2521,2435
20220102,3290,1450,1659
20220102,3300,33114,37087
20220102,3310,1330,1693
20220102,3320,2130,2634
20220102,3330,958,962
20220102,3340,9000,10095
20220102,3350,591,1378
20220102,3360,18150,16656
20220102,3370,1424,1126
20220102,3380,1043,986
20220102,3390,9653,7374
20220102,3400,619,413
20220102,3410,1129,659
20220102,3420,3536,2003
20220102,3430,1327,899
20220102,3431,27,27
20220102,3432,172,165
20220102,3433,17,31
20220102,3434,597,402
20220102,3435,149,98
20220102,3436,213,239
20220102,3450,1210,657
20220102,3460,270,226
20220102,3470,7909,7749
20220102,3480,3303,2509
20220102,3490,188,143
20220102,4050,1510,2013
20220102,4060,2122,3326
20220102,4070,690,593
20220102,4080,14608,12165
20220102,4090,913,722
20220102,4100,337,147
20220102,4110,658,438
20220102,4120,5659,4234
20220102,4130,390,1048
20220102,4140,568,389
20220102,4150,1263,1325
20220102,4160,133,127
20220102,4170,3031,3247
20220102,4180,699,1166
20220102,4190,2081,2713
20220102,4200,3847,4252
20220102,4210,2039,3933
20220102,4220,29091,30538
20220102,4250,1512,3277
20220102,4260,929,1104
20220102,4270,348,464
20220102,4271,279,1102
20220102,4272,4861,4201
20220102,4290,919,1860
20220102,4300,1372,1556
20220102,4310,2884,3275
20220102,4320,1360,1579
20220102,4330,2278,2954
20220102,4340,16073,16483
20220102,4350,630,637
20220102,4360,667,629
20220102,4370,1280,1162
20220102,4380,411,414
20220102,4390,495,496
20220102,4400,16778,15997
20220102,4410,639,603
20220102,4420,1036,1234
20220102,4430,970,935
20220102,4440,5789,6187
20220102,4450,616,580
20220102,4460,1087,1028
20220102,4470,104,107
20220102,5000,12181,12061
20220102,5010,184,219
20220102,5020,196,170
20220102,5030,784,662
20220102,5040,323,282
20220102,5050,4850,3352
20220102,5060,45,35
20220102,5070,517,700
20220102,5080,28,11
20220102,5090,633,335
20220102,5100,192,88
20220102,5110,74,77
20220102,5120,1747,1059
20220102,5130,17,0
20220102,5160,0,3
20220102,5190,341,212
20220102,5200,60,16
20220102,5210,682,408
20220102,5220,389,192
20220102,5230,1018,1547
20220102,5240,5,11
20220102,6000,13642,7969
20220102,6010,8,7
20220102,6020,345,154
20220102,6030,30,8
20220102,6040,5,4
20220102,6050,842,445
20220102,6060,18,1
20220102,6070,1009,469
20220102,6080,258,125
20220102,6090,11,7
20220102,6100,2,10
20220102,6110,2118,1399
20220102,6120,12,17
20220102,6130,902,528
20220102,6140,62,24
20220102,6150,9,2
20220102,6160,663,330
20220102,6170,44,32
20220102,6180,482,353
20220102,6190,10,8
20220102,6200,40,33
20220102,6210,50,25
20220102,6220,365,306
20220102,6230,4,3
20220102,6240,325,1438
20220102,6250,477,458
20220102,7000,22736,15275
20220102,7010,69,69
20220102,7020,7,3
20220102,7030,521,257
20220102,7040,24,18
20220102,7050,17,15
20220102,7060,213,197
20220102,7070,7,6
20220102,7080,10,9
20220102,7090,624,399
20220102,7100,152,85
20220102,7110,7,25
20220102,7120,397,321
20220102,7130,473,374
20220102,7140,18,14
20220102,7150,375,306
20220102,7160,6306,5089
20220102,7170,27,25
20220102,7180,110,81
20220102,7190,5280,4781
20220102,7200,89,67
20220102,7210,2449,1891
20220102,7220,53,46
20220102,7230,902,607
20220102,7240,102,72
20220102,7250,87,48
20220102,7260,155,116
20220102,7270,206,94
20220102,7280,34,16
20220102,7290,668,552
20220102,7300,120,170
20220102,7310,665,607
20220102,7320,105,105
20220102,7330,140,104
20220102,7331,21,15
20220102,7332,595,627
20220102,7333,19,25
20220102,7334,33,26
20220102,7335,339,643
20220102,7336,693,380
20220102,7350,686,696
20220102,7360,3229,3326
20220102,7361,67,78
20220102,7362,210,228
20220102,7380,449,414
20220102,7390,284,306
20220103,0900,6677,6670
20220103,0910,1337,1340
20220103,0920,2271,2076
20220103,0930,6042,5929
20220103,0940,2549,2544
20220103,0950,2153,1857
20220103,0960,9674,9961
20220103,0970,11506,11599
20220103,0980,11145,11601
20220103,0990,15665,16366
20220103,1000,46614,50199
20220103,1010,4296,4237
20220103,1020,19246,19889
20220103,1030,3039,3126
20220103,1040,13315,13232
20220103,1050,1104,1090
20220103,1060,1595,1535
20220103,1070,7845,8009
20220103,1080,22729,23261
20220103,1090,8557,8434
20220103,1100,20276,21209
20220103,1110,5932,5382
20220103,1120,4587,4203
20220103,1130,1607,1529
20220103,1140,71,80
20220103,1150,760,827
20220103,1160,3122,3002
20220103,1170,4145,4725
20220103,1180,4830,4421
20220103,1190,2351,2349
20220103,1191,203,236
20220103,1192,1386,1673
20220103,1193,487,535
20220103,1194,2555,2249
20220103,1201,49,52
20220103,1202,120,115
20220103,1203,346,307
20220103,1204,68,67
20220103,1205,34,25
20220103,1206,22,21
20220103,1207,14,8
20220103,1208,150,141
20220103,1210,14617,15326
20220103,1220,1175,1137
20220103,1230,583,559
20220103,1240,217,231
20220103,1250,7384,6956
20220103,2110,29,38
20220103,2120,87,95
20220103,2130,1182,1152
20220103,2140,14,31
20220103,2150,339,338
20220103,2160,56,46
20220103,2170,675,632
20220103,2180,1528,1235
20220103,2190,222,223
20220103,2200,2128,1701
20220103,2210,88,72
20220103,2220,1003,801
20220103,2230,2147,2240
20220103,2240,343,295
20220103,2250,540,464
20220103,2260,542,159
20220103,3140,278,281
20220103,3150,748,716
20220103,3160,5116,5137
20220103,3170,103,120
20220103,3180,722,664
20220103,3190,590,509
20220103,3210,443,408
20220103,3220,1904,1819
20220103,3230,6259,5407
20220103,3240,719,636
20220103,3250,1845,1753
20220103,3260,494,401
20220103,3270,1541,1439
20220103,3280,1966,1789
20220103,3290,1067,1063
20220103,3300,16114,16815
20220103,3310,1320,1297
20220103,3320,2668,2712
20220103,3330,525,486
20220103,3340,4313,5299
20220103,3350,472,928
20220103,3360,10741,9910
20220103,3370,940,903
20220103,3380,694,706
20220103,3390,6736,5754
20220103,3400,476,441
20220103,3410,951,881
20220103,3420,2408,1967
20220103,3430,802,727
20220103,3431,10,16
20220103,3432,55,52
20220103,3433,10,10
20220103,3434,173,121
20220103,3435,51,56
20220103,3436,88,79
20220103,3450,684,628
20220103,3460,147,138
20220103,3470,4573,4676
20220103,3480,1697,1525
20220103,3490,115,116
20220103,4050,1261,1365
20220103,4060,1311,2079
20220103,4070,766,753
20220103,4080,7916,7107
20220103,4090,599,589
20220103,4100,183,136
20220103,4110,502,447
20220103,4120,4646,4101
20220103,4130,931,914
20220103,4140,530,483
20220103,4150,1257,1255
20220103,4160,149,169
20220103,4170,3244,3120
20220103,4180,1411,1271
20220103,4190,2072,2156
20220103,4200,2391,2659
20220103,4210,3297,3588
20220103,4220,19030,20226
20220103,4250,1130,1536
20220103,4260,690,718
20220103,4270,371,388
20220103,4271,683,1271
20220103,4272,2339,1830
20220103,4290,1905,1757
20220103,4300,1518,1495
20220103,4310,2183,2121
20220103,4320,1152,1276
20220103,4330,2032,2216
20220103,4340,8517,9856
20220103,4350,667,631
20220103,4360,658,597
20220103,4370,1144,1068
20220103,4380,261,278
20220103,4390,566,586
20220103,4400,10799,10157
20220103,4410,741,698
20220103,4420,1296,1156
20220103,4430,1114,970
20220103,4440,4712,3985
20220103,4450,589,576
20220103,4460,1013,972
20220103,4470,135,153
20220103,5000,8364,8651
20220103,5010,241,283
20220103,5020,148,145
20220103,5030,698,638
20220103,5040,226,219
20220103,5050,3167,2631
20220103,5060,179,179
20220103,5070,485,441
20220103,5080,20,19
20220103,5090,459,386
20220103,5100,123,113
20220103,5110,78,55
20220103,5120,788,672
20220103,5190,156,123
20220103,5200,17,17
20220103,5210,400,357
20220103,5220,161,120
20220103,5230,643,839
20220103,5240,15,12
20220103,6000,5096,3827
20220103,6010,6,5
20220103,6020,241,137
20220103,6030,55,41
20220103,6040,5,5
20220103,6050,489,424
20220103,6060,7,3
20220103,6070,481,353
20220103,6080,152,107
20220103,6090,2,16
20220103,6100,18,13
20220103,6110,1295,965
20220103,6120,2,8
20220103,6130,658,494
20220103,6140,38,33
20220103,6150,8,9
20220103,6160,460,394
20220103,6170,62,45
20220103,6180,366,310
20220103,6190,26,14
20220103,6200,11,13
20220103,6210,59,54
20220103,6220,294,276
20220103,6230,7,10
20220103,6240,248,912
20220103,6250,545,456
20220103,7000,8906,8678
20220103,7010,128,153
20220103,7020,12,13
20220103,7030,342,304
20220103,7040,19,20
20220103,7050,51,66
20220103,7060,854,872
20220103,7070,3,5
20220103,7080,13,13
20220103,7090,809,740
20220103,7100,269,179
20220103,7110,16,89
20220103,7120,508,525
20220103,7130,534,606
20220103,7140,17,20
20220103,7150,484,464
20220103,7160,4059,3494
20220103,7170,22,28
20220103,7180,132,126
20220103,7190,3427,3302
20220103,7200,123,136
20220103,7210,1346,1189
20220103,7220,113,114
20220103,7230,1046,981
20220103,7240,41,31
20220103,7250,67,66
20220103,7260,144,168
20220103,7270,101,73
20220103,7280,13,14
20220103,7290,383,382
20220103,7300,159,155
20220103,7310,664,655
20220103,7320,100,116
20220103,7330,35,47
20220103,7331,7,6
20220103,7332,164,175
20220103,7333,22,24
20220103,7334,14,9
20220103,7335,89,89
20220103,7336,78,72
20220103,7350,200,193
20220103,7360,3098,3086
20220103,7361,12,15
20220103,7362,56,78
20220103,7380,721,659
20220103,7390,449,501
20220104,0900,6481,6011
20220104,0910,1319,1384
20220104,0920,2216,1929
20220104,0930,5848,5859
20220104,0940,2483,2507
20220104,0950,2186,1865
20220104,0960,9797,10152
20220104,0970,11778,11774
20220104,0980,10820,11275
20220104,0990,15353,15699
20220104,1000,43775,43822
20220104,1010,4026,3951
20220104,1020,17327,16859
20220104,1030,3027,2878
20220104,1040,12329,12370
20220104,1050,1089,1048
20220104,1060,1565,1592
20220104,1070,7688,7944
20220104,1080,21015,21895
20220104,1090,8279,7978
20220104,1100,17874,18424
20220104,1110,5622,5233
20220104,1120,4311,4102
20220104,1130,1444,1457
20220104,1140,56,91
20220104,1150,805,811
20220104,1160,2934,3000
20220104,1170,4346,4578
20220104,1180,4544,4367
20220104,1190,2406,2465
20220104,1191,215,208
20220104,1192,1297,1359
20220104,1193,419,471
20220104,1194,2114,2153
20220104,1201,39,36
20220104,1202,108,110
20220104,1203,336,295
20220104,1204,63,59
20220104,1205,43,35
20220104,1206,24,27
20220104,1207,5,2
20220104,1208,197,188
20220104,1210,12914,12922
20220104,1220,1107,986
20220104,1230,588,558
20220104,1240,226,227
20220104,1250,6598,6773
20220104,2110,34,34
20220104,2120,95,103
20220104,2130,1156,1112
20220104,2140,11,20
20220104,2150,315,325
20220104,2160,50,55
20220104,2170,586,614
20220104,2180,1235,1174
20220104,2190,207,200
20220104,2200,1623,1586
20220104,2210,72,72
20220104,2220,754,721
20220104,2230,1524,1519
20220104,2240,277,267
20220104,2250,519,480
20220104,2260,1185,156
20220104,3140,259,295
20220104,3150,569,635
20220104,3160,4687,4438
20220104,3170,98,90
20220104,3180,689,644
20220104,3190,548,566
20220104,3210,453,448
20220104,3220,1848,1810
20220104,3230,4576,4844
20220104,3240,725,662
20220104,3250,1585,1545
20220104,3260,453,437
20220104,3270,1384,1392
20220104,3280,1716,1666
20220104,3290,967,955
20220104,3300,12235,12337
20220104,3310,1225,1244
20220104,3320,2584,2488
20220104,3330,467,434
20220104,3340,3560,3647
20220104,3350,473,1466
20220104,3360,8657,8693
20220104,3370,757,802
20220104,3380,596,625
20220104,3390,5433,5444
20220104,3400,406,426
20220104,3410,887,909
20220104,3420,1973,1903
20220104,3430,748,734
20220104,3431,16,11
20220104,3432,60,81
20220104,3433,5,9
20220104,3434,108,74
20220104,3435,41,53
20220104,3436,54,50
20220104,3450,636,609
20220104,3460,99,129
20220104,3470,3577,3511
20220104,3480,1300,1282
20220104,3490,91,105
20220104,4050,1158,1150
20220104,4060,1058,1187
20220104,4070,697,681
20220104,4080,6141,6033
20220104,4090,511,515
20220104,4100,127,146
20220104,4110,488,466
20220104,4120,3957,3885
20220104,4130,924,878
20220104,4140,487,486
20220104,4150,1191,1139
20220104,4160,151,151
20220104,4170,2809,2798
20220104,4180,1347,1238
20220104,4190,1999,1980
20220104,4200,2106,2182
20220104,4210,3225,3229
20220104,4220,15956,15991
20220104,4250,1009,1040
20220104,4260,596,624
20220104,4270,336,339
20220104,4271,720,793
20220104,4272,1216,1161
20220104,4290,1859,1766
20220104,4300,1454,1473
20220104,4310,1898,1904
20220104,4320,1050,1200
20220104,4330,1840,1837
20220104,4340,6603,6785
20220104,4350,591,570
20220104,4360,603,572
20220104,4370,1161,1117
20220104,4380,242,263
20220104,4390,552,592
20220104,4400,8953,8673
20220104,4410,695,715
20220104,4420,1158,1058
20220104,4430,999,981
20220104,4440,3965,3689
20220104,4450,567,553
20220104,4460,906,970
20220104,4470,137,143
20220104,5000,7152,7223
20220104,5010,228,251
20220104,5020,130,136
20220104,5030,686,656
20220104,5040,210,213
20220104,5050,2738,2575
20220104,5060,176,179
20220104,5070,466,428
20220104,5080,21,20
20220104,5090,362,364
20220104,5100,115,103
20220104,5110,63,62
20220104,5120,646,698
20220104,5160,3,2
20220104,5190,102,101
20220104,5200,9,12
20220104,5210,498,489
20220104,5220,109,104
20220104,5230,446,510
20220104,5240,8,10
20220104,6000,2733,2757
20220104,6010,5,8
20220104,6020,137,143
20220104,6030,42,29
20220104,6040,4,5
20220104,6050,381,381
20220104,6060,3,3
20220104,6070,318,308
20220104,6080,94,100
20220104,6090,5,7
20220104,6100,12,12
20220104,6110,827,811
20220104,6120,5,12
20220104,6130,429,428
20220104,6140,38,29
20220104,6150,8,1
20220104,6160,334,308
20220104,6170,47,43
20220104,6180,313,270
20220104,6190,23,20
20220104,6200,12,10
20220104,6210,90,95
20220104,6220,251,353
20220104,6230,7,12
20220104,6240,238,313
20220104,6250,384,361
20220104,7000,6474,5993
20220104,7010,121,119
20220104,7020,17,22
20220104,7030,290,271
20220104,7040,18,24
20220104,7050,50,57
20220104,7060,805,802
20220104,7070,2,2
20220104,7080,10,15
20220104,7090,782,790
20220104,7100,276,158
20220104,7110,13,95
20220104,7120,436,544
20220104,7130,538,1185
20220104,7140,8,13
20220104,7150,474,445
20220104,7160,3380,3096
20220104,7170,18,21
20220104,7180,127,134
20220104,7190,2910,2786
20220104,7200,122,131
20220104,7210,1048,1080
20220104,7220,92,104
20220104,7230,968,956
20220104,7240,28,29
20220104,7250,46,63
20220104,7260,163,171
20220104,7270,60,57
20220104,7280,32,13
20220104,7290,333,380
20220104,7300,131,139
20220104,7310,636,621
20220104,7320,144,152
20220104,7330,29,35
20220104,7331,11,9
20220104,7332,124,130
20220104,7333,14,11
20220104,7334,19,19
20220104,7335,63,69
20220104,7336,54,55
20220104,7350,127,125
20220104,7360,2799,2848
20220104,7361,8,12
20220104,7362,24,35
20220104,7380,620,616
20220104,7390,446,464
20220105,0900,6772,6249
20220105,0910,1375,1521
20220105,0920,2260,2032
20220105,0930,5958,5960
20220105,0940,2510,2536
20220105,0950,2193,1834
20220105,0960,9910,10369
20220105,0970,11773,11777
20220105,0980,10928,11305
20220105,0990,15466,15662
20220105,1000,44998,44416
20220105,1010,4140,3971
20220105,1020,17746,17416
20220105,1030,3013,2915
20220105,1040,12219,12448
20220105,1050,1134,1070
20220105,1060,1600,1590
20220105,1070,7763,7979
20220105,1080,21336,22202
20220105,1090,8227,8057
20220105,1100,18341,18784
20220105,1110,5829,5333
20220105,1120,4335,4151
20220105,1130,1473,1436
20220105,1140,76,87
20220105,1150,828,788
20220105,1160,3021,3085
20220105,1170,4557,4707
20220105,1180,4694,4490
20220105,1190,2315,2330
20220105,1191,254,249
20220105,1192,1298,1343
20220105,1193,462,462
20220105,1194,2073,2099
20220105,1201,52,56
20220105,1202,119,107
20220105,1203,337,310
20220105,1204,70,70
20220105,1205,37,59
20220105,1206,26,22
20220105,1207,3,6
20220105,1208,152,132
20220105,1210,13245,13185
20220105,1220,1150,1013
20220105,1230,559,552
20220105,1240,188,200
20220105,1250,6540,6681
20220105,2110,32,28
20220105,2120,87,91
20220105,2130,1260,1163
20220105,2140,15,20
20220105,2150,294,318
20220105,2160,51,38
20220105,2170,553,559
20220105,2180,1212,1202
20220105,2190,226,211
20220105,2200,1661,1606
20220105,2210,78,60
20220105,2220,709,749
20220105,2230,1518,1536
20220105,2240,286,288
20220105,2250,1034,494
20220105,2260,1241,138
20220105,3140,268,303
20220105,3150,571,582
20220105,3160,4558,4512
20220105,3170,87,86
20220105,3180,690,634
20220105,3190,553,579
20220105,3210,422,433
20220105,3220,1774,1761
20220105,3230,4640,4891
20220105,3240,661,652
20220105,3250,1656,1507
20220105,3260,449,425
20220105,3270,1385,1423
20220105,3280,1644,1597
20220105,3290,919,925
20220105,3300,12453,12471
20220105,3310,1191,1157
20220105,3320,2475,2436
20220105,3330,477,485
20220105,3340,3596,3559
20220105,3350,424,2045
20220105,3360,8775,8757
20220105,3370,752,833
20220105,3380,581,620
20220105,3390,5512,5419
20220105,3400,366,407
20220105,3410,896,910
20220105,3420,1959,1954
20220105,3430,711,724
20220105,3431,18,15
20220105,3432,42,45
20220105,3433,10,390
20220105,3434,465,101
20220105,3435,43,86
20220105,3436,43,42
20220105,3450,610,594
20220105,3460,118,141
20220105,3470,3596,3652
20220105,3480,1264,1316
20220105,3490,103,119
20220105,4050,1099,1144
20220105,4060,1128,1125
20220105,4070,707,727
20220105,4080,6165,5777
20220105,4090,558,554
20220105,4100,129,142
20220105,4110,430,441
20220105,4120,3946,3961
20220105,4130,955,939
20220105,4140,494,492
20220105,4150,1136,1122
20220105,4160,160,172
20220105,4170,2845,2834
20220105,4180,1385,1254
20220105,4190,2143,2105
20220105,4200,2232,2313
20220105,4210,3279,3229
20220105,4220,16164,16509
20220105,4250,1010,971
20220105,4260,608,593
20220105,4270,374,370
20220105,4271,738,753
20220105,4272,1134,1065
20220105,4290,1956,1722
20220105,4300,1402,1453
20220105,4310,1963,2023
20220105,4320,1101,1212
20220105,4330,1860,1821
20220105,4340,6734,6960
20220105,4350,568,609
20220105,4360,616,600
20220105,4370,1112,1033
20220105,4380,254,246
20220105,4390,595,603
20220105,4400,9004,9176
20220105,4410,722,721
20220105,4420,1138,1042
20220105,4430,941,934
20220105,4440,3946,3791
20220105,4450,524,563
20220105,4460,881,928
20220105,4470,119,132
20220105,5000,7286,7370
20220105,5010,201,218
20220105,5020,121,129
20220105,5030,602,563
20220105,5040,215,226
20220105,5050,2517,2513
20220105,5060,167,169
20220105,5070,556,444
20220105,5080,17,19
20220105,5090,338,377
20220105,5100,141,133
20220105,5110,61,58
20220105,5120,629,731
20220105,5130,1,0
20220105,5140,0,1
20220105,5190,123,134
20220105,5200,11,29
20220105,5210,546,519
20220105,5220,110,78
20220105,5230,496,407
20220105,5240,10,6
20220105,6000,2694,2671
20220105,6010,7,11
20220105,6020,144,129
20220105,6030,27,27
20220105,6040,5,7
20220105,6050,453,394
20220105,6060,2,3
20220105,6070,339,345
20220105,6080,107,111
20220105,6090,6,11
20220105,6100,8,11
20220105,6110,965,828
20220105,6120,8,8
20220105,6130,426,487
20220105,6140,29,22
20220105,6150,5,4
20220105,6160,381,318
20220105,6170,48,48
20220105,6180,284,315
20220105,6190,24,23
20220105,6200,10,6
20220105,6210,61,56
20220105,6220,229,213
20220105,6230,8,10
20220105,6240,196,193
20220105,6250,332,365
20220105,7000,5751,6036
20220105,7010,121,120
20220105,7020,7,19
20220105,7030,265,245
20220105,7040,17,21
20220105,7050,53,63
20220105,7060,836,826
20220105,7070,2,3
20220105,7080,17,10
20220105,7090,727,728
20220105,7100,144,154
20220105,7110,14,12
20220105,7120,413,433
20220105,7130,528,605
20220105,7140,18,18
20220105,7150,445,474
20220105,7160,3440,3353
20220105,7170,24,22
20220105,7180,113,116
20220105,7190,3006,2887
20220105,7200,111,144
20220105,7210,1089,1155
20220105,7220,103,130
20220105,7230,1036,994
20220105,7240,45,37
20220105,7250,65,53
20220105,7260,168,172
20220105,7270,129,77
20220105,7280,23,27
20220105,7290,417,429
20220105,7300,181,192
20220105,7310,652,679
20220105,7320,121,125
20220105,7330,32,43
20220105,7331,15,13
20220105,7332,162,145
20220105,7333,16,12
20220105,7334,13,12
20220105,7335,73,91
20220105,7336,52,57
20220105,7350,200,193
20220105,7360,2968,3181
20220105,7361,12,13
20220105,7362,40,53
